name,title
b06_fiscalyear,會計年度
b06_fundkind,(此報表無需使用此TAG)
b06_budgetkind,(此報表無需使用此TAG)
b06_specialbudgetno,(此報表無需使用此TAG)
b06_agenno,機關編號
b06_agentype,機關業務別
b06_budgetstate,預算階段
b06_planno,計畫編號
b06_planname,計畫名稱
b06_startyear,執行期間(年)開始
b06_endyear,執行期間(年)結束
b06_budgetamt,預算經費需求總額(元)
b06_amt1,前2年預算數(元)
b06_amt2,前1年預算數(元)
b06_amt3,本年預算數(元)
b06_amt4,明年(後)預算數(元)
b06_memo,備註
b06_upduserno,(此報表無需使用此TAG)
b06_upddatetime,(此報表無需使用此TAG)
b06_versiondate,(此報表無需使用此TAG)
b06_amt1_display,前2年預算數(億元)
b06_amt2_display,前1年預算數(億元)
b06_amt3_display,本年預算數(億元)
b06_amt4_display,明年(後)預算數(億元)
b06_budgetamt_display,預算經費需求總額(億元)
